sample_id	fasta_path	species	taxon_id	proteome_id	source_database	release	provenance_status
Arabidopsis_thaliana	/Volumes/One Touch/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Arabidopsis_thaliana.fasta	Arabidopsis thaliana	3702		inherited_E3_project_files	not_recorded	source_release_to_be_confirmed
Hordeum_vulgare	/Volumes/One Touch/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Hordeum_vulgare.fasta	Hordeum vulgare subsp. vulgare	112509		inherited_E3_project_files	not_recorded	source_release_to_be_confirmed
Oryza_sativa	/Volumes/One Touch/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Oryza_sativa.fasta	Oryza sativa subsp. japonica	39947		inherited_E3_project_files	not_recorded	source_release_to_be_confirmed
Triticum_aestivum	/Volumes/One Touch/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Triticum_aestivum.fasta	Triticum aestivum	4565		inherited_E3_project_files	not_recorded	source_release_to_be_confirmed
Zea_mays	/Volumes/One Touch/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Zea_mays.fasta	Zea mays	4577		inherited_E3_project_files	not_recorded	source_release_to_be_confirmed
